RegionName	Median_Sale_Price	Direction
Auburn	373800	South
Bellevue	910700	East
Bonney Lake	424900	South
Bothell	618000	North
Buckley	358600	South
Burien	419400	South
Covington	366100	South
Des Moines	401500	South
Dupont	316500	South
Duvall	678900	East
Edmonds	602300	North
Enumclaw	378300	South
Everett	357100	North
Federal Way	348200	South
Fife	357400	South
Gig Harbor	505200	South
Graham	341900	South
Kenmore	591000	North
Kent	376300	North
Kirkland	762600	East
Lakewood	309600	South
Lynnwood	473900	North
Maple Valley	473800	South
Mercer Island	1505700	East
Mill Creek	515600	North
Mountlake Terrace	452900	North
Mukilteo	594300	North
Orting	335100	South
Parkland	254300	South
Puyallup	318800	South
Redmond	770100	East
Renton	433200	South
Sammamish	918000	East
Seatac	342300	Proper
Seattle	737100	Proper
Seattle Hill-Silver Firs	506700	Proper
Shoreline	560700	North
Snohomish	556800	North
Snoqualmie	622100	North
South Hill	346400	South
Spanaway	284900	South
Tacoma	284300	South
University Place	421900	South
Waller	409400	South
White Center	413700	South
Woodinville	782800	North
