date,inventory
1/1/2010,11429
2/1/2010,11609
3/1/2010,13816
4/1/2010,14483
5/1/2010,13636
6/1/2010,14123
7/1/2010,14572
8/1/2010,14487
9/1/2010,14315
10/1/2010,13754
11/1/2010,13449
12/1/2010,12592
1/1/2011,12395
2/1/2011,12891
3/1/2011,13804
4/1/2011,13547
5/1/2011,13363
6/1/2011,13769
7/1/2011,14242
8/1/2011,13730
9/1/2011,13085
10/1/2011,12710
11/1/2011,12543
12/1/2011,11479
1/1/2012,10586
2/1/2012,10024
3/1/2012,8928
4/1/2012,7624
5/1/2012,7537
6/1/2012,7475
7/1/2012,7413
8/1/2012,7556
9/1/2012,7594
10/1/2012,6923
11/1/2012,6421
12/1/2012,5482
1/1/2013,5074
2/1/2013,5408
3/1/2013,5366
4/1/2013,5251
5/1/2013,5711
6/1/2013,6101
7/1/2013,6653
8/1/2013,7321
9/1/2013,7132
10/1/2013,6957
11/1/2013,6665
12/1/2013,6173
1/1/2014,5585
2/1/2014,5661
3/1/2014,5935
4/1/2014,6504
5/1/2014,7224
6/1/2014,7675
7/1/2014,8164
8/1/2014,8588
9/1/2014,8577
10/1/2014,8069
11/1/2014,7297
12/1/2014,6360
1/1/2015,5613
2/1/2015,5373
3/1/2015,5352
4/1/2015,5478
5/1/2015,6181
6/1/2015,6602
7/1/2015,6871
8/1/2015,7141
9/1/2015,6679
10/1/2015,6224
11/1/2015,5448
12/1/2015,4486
1/1/2016,3733
2/1/2016,3708
3/1/2016,3846
4/1/2016,4171
5/1/2016,4628
6/1/2016,5556
7/1/2016,6095
8/1/2016,6633
9/1/2016,6653
10/1/2016,6092
11/1/2016,5080
12/1/2016,3956
1/1/2017,3352
2/1/2017,3184
3/1/2017,3004
4/1/2017,3199
5/1/2017,3726
6/1/2017,4303
7/1/2017,4554
8/1/2017,4804
9/1/2017,4739
10/1/2017,4806
11/1/2017,3961
12/1/2017,2945
1/1/2018,2352
2/1/2018,2149
3/1/2018,2310
4/1/2018,2642
